Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-09-06,126.67,129.94,126.47,129.73,26278407.0,0.0,1.0,126.67,129.94,126.47,129.73,26278407.0
2016-09-07,130.04,131.98,129.95,131.05,27990796.0,0.0,1.0,130.04,131.98,129.95,131.05,27990796.0
2016-09-08,130.92,131.08,129.81,130.27,15676595.0,0.0,1.0,130.92,131.08,129.81,130.27,15676595.0
2016-09-09,129.71,129.949,127.1,127.1,27100679.0,0.0,1.0,129.71,129.949,127.1,127.1,27100679.0
2016-09-12,125.96,128.76,125.75,128.69,21252752.0,0.0,1.0,125.96,128.76,125.75,128.69,21252752.0
2016-09-13,128.03,128.35,126.66,127.21,18016152.0,0.0,1.0,128.03,128.35,126.66,127.21,18016152.0
2016-09-14,126.89,128.8,126.89,127.77,15720388.0,0.0,1.0,126.89,128.8,126.89,127.77,15720388.0
2016-09-15,127.98,129.1,127.67,128.35,15111838.0,0.0,1.0,127.98,129.1,127.67,128.35,15111838.0
2016-09-16,128.2,129.18,128.2,129.07,24119174.0,0.0,1.0,128.2,129.18,128.2,129.07,24119174.0
2016-09-19,129.91,129.94,128.26,128.65,14958794.0,0.0,1.0,129.91,129.94,128.26,128.65,14958794.0
2016-09-20,128.65,129.17,128.0307,128.64,11083808.0,0.0,1.0,128.65,129.17,128.0307,128.64,11083808.0
2016-09-21,129.13,130.005,128.39,129.94,14068336.0,0.0,1.0,129.13,130.005,128.39,129.94,14068336.0
2016-09-22,130.5,130.73,129.56,130.08,15538307.0,0.0,1.0,130.5,130.73,129.56,130.08,15538307.0
2016-09-23,127.56,128.6,127.3,127.96,28326266.0,0.0,1.0,127.56,128.6,127.3,127.96,28326266.0
2016-09-26,127.37,128.16,126.8,127.31,15064940.0,0.0,1.0,127.37,128.16,126.8,127.31,15064940.0
2016-09-27,127.61,129.01,127.43,128.69,15637111.0,0.0,1.0,127.61,129.01,127.43,128.69,15637111.0
2016-09-28,129.21,129.47,128.4,129.23,12047636.0,0.0,1.0,129.21,129.47,128.4,129.23,12047636.0
2016-09-29,129.18,129.29,127.55,128.09,14532241.0,0.0,1.0,129.18,129.29,127.55,128.09,14532241.0
2016-09-30,128.03,128.59,127.45,128.27,18402945.0,0.0,1.0,128.03,128.59,127.45,128.27,18402945.0
2016-10-03,128.38,129.09,127.8,128.77,13156943.0,0.0,1.0,128.38,129.09,127.8,128.77,13156943.0
2016-10-04,129.17,129.2765,127.5499,128.19,14307548.0,0.0,1.0,129.17,129.2765,127.5499,128.19,14307548.0
2016-10-05,128.25,128.8,127.83,128.47,12386753.0,0.0,1.0,128.25,128.8,127.83,128.47,12386753.0
2016-10-06,128.43,129.06,128.08,128.74,11682729.0,0.0,1.0,128.43,129.06,128.08,128.74,11682729.0
2016-10-07,129.04,129.25,128.33,128.99,12804420.0,0.0,1.0,129.04,129.25,128.33,128.99,12804420.0
2016-10-10,129.68,130.7,129.2,130.24,15138720.0,0.0,1.0,129.68,130.7,129.2,130.24,15138720.0
2016-10-11,130.23,130.64,128.23,128.88,17537928.0,0.0,1.0,130.23,130.64,128.23,128.88,17537928.0
2016-10-12,129.01,129.66,128.46,129.05,11072991.0,0.0,1.0,129.01,129.66,128.46,129.05,11072991.0
2016-10-13,128.21,128.25,126.75,127.82,17139306.0,0.0,1.0,128.21,128.25,126.75,127.82,17139306.0
2016-10-14,128.49,128.95,127.58,127.88,13345292.0,0.0,1.0,128.49,128.95,127.58,127.88,13345292.0
2016-10-17,128.2,128.47,127.32,127.54,11351681.0,0.0,1.0,128.2,128.47,127.32,127.54,11351681.0
2016-10-18,128.68,129.39,128.01,128.57,13503967.0,0.0,1.0,128.68,129.39,128.01,128.57,13503967.0
2016-10-19,128.74,130.47,128.6,130.11,16752321.0,0.0,1.0,128.74,130.47,128.6,130.11,16752321.0
2016-10-20,130.07,130.66,129.5,130.0,13167503.0,0.0,1.0,130.07,130.66,129.5,130.0,13167503.0
2016-10-21,129.78,132.13,129.7,132.07,19088794.0,0.0,1.0,129.78,132.13,129.7,132.07,19088794.0
2016-10-24,132.72,133.405,132.15,133.28,17470227.0,0.0,1.0,132.72,133.405,132.15,133.28,17470227.0
2016-10-25,133.5,133.5,132.22,132.29,13336787.0,0.0,1.0,133.5,133.5,132.22,132.29,13336787.0
2016-10-26,131.64,132.26,130.935,131.04,13084731.0,0.0,1.0,131.64,132.26,130.935,131.04,13084731.0
2016-10-27,131.74,131.8,129.27,129.69,16741393.0,0.0,1.0,131.74,131.8,129.27,129.69,16741393.0
2016-10-28,130.5,132.97,129.93,131.29,24545547.0,0.0,1.0,130.5,132.97,129.93,131.29,24545547.0
2016-10-31,132.01,132.12,130.8835,130.99,15668982.0,0.0,1.0,132.01,132.12,130.8835,130.99,15668982.0
2016-11-01,131.41,131.94,128.65,129.5,22077779.0,0.0,1.0,131.41,131.94,128.65,129.5,22077779.0
2016-11-02,130.23,130.23,126.28,127.17,50190225.0,0.0,1.0,130.23,130.23,126.28,127.17,50190225.0
2016-11-03,122.0,123.28,119.5,120.0,63766259.0,0.0,1.0,122.0,123.28,119.5,120.0,63766259.0
2016-11-04,119.59,121.93,119.25,120.75,30545466.0,0.0,1.0,119.59,121.93,119.25,120.75,30545466.0
2016-11-07,122.83,123.2089,121.35,122.15,23008880.0,0.0,1.0,122.83,123.2089,121.35,122.15,23008880.0
2016-11-08,122.03,124.61,121.54,124.22,19460768.0,0.0,1.0,122.03,124.61,121.54,124.22,19460768.0
2016-11-09,121.5,123.81,120.51,123.18,31916020.0,0.0,1.0,121.5,123.81,120.51,123.18,31916020.0
2016-11-10,123.93,124.18,115.27,120.8,67846704.0,0.0,1.0,123.93,124.18,115.27,120.8,67846704.0
2016-11-11,120.44,120.7,118.15,119.02,32840137.0,0.0,1.0,120.44,120.7,118.15,119.02,32840137.0
2016-11-14,119.1256,119.1256,113.5535,115.08,51377040.0,0.0,1.0,119.1256,119.1256,113.5535,115.08,51377040.0
2016-11-15,116.73,118.49,115.83,117.2,34681369.0,0.0,1.0,116.73,118.49,115.83,117.2,34681369.0
2016-11-16,117.2,117.88,114.21,116.34,32397947.0,0.0,1.0,117.2,117.88,114.21,116.34,32397947.0
2016-11-17,116.84,117.79,116.01,117.79,18597766.0,0.0,1.0,116.84,117.79,116.01,117.79,18597766.0
2016-11-18,118.39,119.13,116.84,117.02,22879303.0,0.0,1.0,118.39,119.13,116.84,117.02,22879303.0
2016-11-21,118.39,121.95,117.8,121.77,35415366.0,0.0,1.0,118.39,121.95,117.8,121.77,35415366.0
2016-11-22,122.4,122.98,120.9,121.47,26089163.0,0.0,1.0,122.4,122.98,120.9,121.47,26089163.0
2016-11-23,121.23,121.31,119.94,120.84,15672136.0,0.0,1.0,121.23,121.31,119.94,120.84,15672136.0
2016-11-25,121.01,121.14,120.07,120.38,8658605.0,0.0,1.0,121.01,121.14,120.07,120.38,8658605.0
2016-11-28,120.12,121.69,119.82,120.41,18101314.0,0.0,1.0,120.12,121.69,119.82,120.41,18101314.0
2016-11-29,120.57,122.1,120.4,120.87,18890956.0,0.0,1.0,120.57,122.1,120.4,120.87,18890956.0
